id,nom,prenom,groupe,prob_avant,prob_apres,reduction,sorti_zone_rouge
389,Khidir,Sylvie,Témoin,100.0,100.0,0.0,False
475,Hamid,Nourdine,Témoin,100.0,100.0,0.0,False
351,Brahim,Amina,Témoin,99.5,99.5,0.0,False
165,Kerallah,Faozzia,Intervention,98.6,83.0,15.6,False
404,Bakhit,Abdelsalam,Intervention,98.6,80.9,17.7,False
31,Nour,Hassan,Témoin,97.9,97.9,0.0,False
336,Issa Bechir,Paul,Témoin,97.8,97.8,0.0,False
182,Mbodou,Fatouma,Témoin,97.4,97.4,0.0,False
76,Mht Rozzi,Aristide,Témoin,96.6,96.6,0.0,False
46,Naimbaye,Nadège,Intervention,96.5,75.9,20.6,False
180,Nouradine,Abderahim,Intervention,96.2,88.5,7.8,False
313,Jean,Abdelkerim,Intervention,95.9,61.6,34.3,True
113,Issa Bechir,Esther,Intervention,95.8,76.5,19.4,False
174,Nour,Abakar,Intervention,95.4,98.0,-2.6,False
15,Ndolenodji,Celestin,Témoin,95.3,95.3,0.0,False
88,Nour,Théophile,Intervention,94.9,51.3,43.6,True
181,Hassan,Sylvestre,Témoin,94.5,94.5,0.0,False
215,Ngakoutou,Faozzia,Témoin,94.5,94.5,0.0,False
342,Aboulaye,Celine,Témoin,93.9,93.9,0.0,False
439,Khalid,Abdelkerim,Intervention,93.9,75.9,18.0,False
377,Kessou,Saleh,Intervention,93.9,82.9,11.0,False
458,Hillo,Bintou,Témoin,93.5,93.5,0.0,False
273,Abderahim,Ahmat,Témoin,93.3,93.3,0.0,False
335,Issa,Sophie,Témoin,93.0,93.0,0.0,False
201,George,Nour,Intervention,93.0,66.8,26.3,False
167,Mht Rozzi,Babikir,Témoin,92.9,92.9,0.0,False
96,Abakar,Marc,Intervention,92.9,82.3,10.6,False
327,Idriss,Celestin,Témoin,92.1,92.1,0.0,False
199,Mbailaou,Yasmin,Témoin,92.0,92.0,0.0,False
124,Mbailaou,Pierre,Témoin,91.9,91.9,0.0,False
454,Tahir,Chakir,Témoin,91.9,91.9,0.0,False
339,Togombaye,Madeleine,Témoin,91.9,91.9,0.0,False
312,Bakhit,Théophile,Témoin,91.7,91.7,0.0,False
166,Abderahim,Abdelsalam,Intervention,91.6,60.3,31.3,True
426,Dillah,Prisca,Témoin,91.5,91.5,0.0,False
154,Hassan,Esther,Témoin,91.3,91.3,0.0,False
134,Bichara,Nadège,Intervention,91.0,63.2,27.8,True
264,Hassaballah,Fatouma,Intervention,90.9,57.4,33.6,True
14,Ahmat,Marc,Intervention,90.9,38.8,52.1,True
195,Ngakoutou,Djimet,Témoin,90.9,90.9,0.0,False
155,Laoukein,Celine,Intervention,90.5,95.3,-4.8,False
111,Jean,Bachir,Témoin,90.4,90.4,0.0,False
374,Yacoub,Celine,Intervention,90.0,48.3,41.6,True
472,Mallah,Amina,Intervention,89.9,96.9,-7.0,False
214,Ngakoutou,Yacoub,Témoin,89.9,89.9,0.0,False
13,Chakir,Zara,Intervention,89.1,61.5,27.6,True
9,N'djiaye,Veronique,Témoin,89.1,89.1,0.0,False
318,Camara,Mahmat,Intervention,89.1,45.4,43.7,True
328,Farid,Julie,Témoin,89.0,89.0,0.0,False
160,Nouradine,Pascaline,Témoin,88.5,88.5,0.0,False
213,Oumar,Nasser,Témoin,88.5,88.5,0.0,False
363,Guihini,Aristide,Témoin,88.5,88.5,0.0,False
500,N'djiaye,Aristide,Témoin,88.5,88.5,0.0,False
97,Hassaballah,Marie,Intervention,88.5,89.1,-0.6,False
237,Ngarmadji,Jean,Intervention,88.5,66.4,22.1,False
75,Tahir,Sadia,Intervention,88.5,86.8,1.6,False
324,Abakar,Djibrine,Intervention,88.5,75.9,12.6,False
87,Mbodou,Symphorien,Intervention,88.1,45.4,42.6,True
415,Babikir,Safiya,Intervention,87.5,87.6,-0.1,False
423,Aboulaye,Hassan,Témoin,86.5,86.5,0.0,False
62,Seid,Denise,Témoin,86.1,86.1,0.0,False
379,Tidjani,Roukaya,Intervention,86.0,54.0,32.0,True
220,Gotran,Dalia,Témoin,86.0,86.0,0.0,False
259,Adam,Marie,Témoin,85.5,85.5,0.0,False
233,Magloire,Abderahim,Intervention,85.3,39.7,45.6,True
219,Magloire,Jean,Témoin,85.0,85.0,0.0,False
256,Habib,Nadjia,Témoin,84.8,84.8,0.0,False
236,Brahim,Magloire,Intervention,84.7,52.2,32.6,True
394,Jean,Nadjia,Témoin,84.4,84.4,0.0,False
244,Hassan,Yacoub,Intervention,84.2,28.4,55.8,True
381,Abdeldjelil,Issa,Témoin,84.2,84.2,0.0,False
78,Mbaitigue,Halimé,Témoin,83.2,83.2,0.0,False
156,Aboulaye,Madeleine,Intervention,83.0,48.3,34.6,True
239,Ali,Lucie,Intervention,82.9,39.0,43.9,True
254,Hillo,Serge,Intervention,82.8,55.5,27.3,True
74,Abdelkerim,Valentin,Intervention,82.8,79.9,2.9,False
86,Abdelkerim,Haoua,Témoin,82.8,82.8,0.0,False
29,Mbaitigue,Rahel,Témoin,81.9,81.9,0.0,False
357,Magloire,Fatouma,Intervention,81.8,54.1,27.7,True
36,Djimet,Evariste,Intervention,81.4,61.5,19.8,True
383,George,Esther,Témoin,81.3,81.3,0.0,False
425,Brahim,Odette,Témoin,81.3,81.3,0.0,False
135,Brahim,Aristide,Intervention,81.3,67.5,13.8,False
447,Dillah,Khadidja,Témoin,80.8,80.8,0.0,False
39,Zakaria,Issa,Intervention,80.4,43.8,36.6,True
388,Mallah,Sandrine,Témoin,80.3,80.3,0.0,False
489,Abakar Ali,Edith,Témoin,80.3,80.3,0.0,False
164,Hamid,Zeinab,Témoin,80.1,80.1,0.0,False
53,Christian,Faozzia,Témoin,80.0,80.0,0.0,False
151,Kodji,Appolinaire,Témoin,79.8,79.8,0.0,False
498,Kerallah,Abdelkerim,Intervention,79.5,34.8,44.7,True
293,Khidir,Christine,Intervention,79.3,51.6,27.7,True
253,Mbodou,Serge,Intervention,79.0,51.6,27.4,True
496,Issa,Zakaria,Intervention,78.9,22.6,56.3,True
52,Moussa,Ali,Intervention,78.9,55.5,23.4,True
70,Fatahaldjelil,Amne,Témoin,77.1,77.1,0.0,False
68,Hassaballah,Zara,Intervention,76.9,9.7,67.2,True
67,Seid,Hillo,Intervention,76.9,42.1,34.8,True
109,Oumar,Bintou,Intervention,76.8,43.7,33.2,True
369,Saad,Djibrine,Intervention,76.4,50.6,25.8,True
322,Mallah,Mariam,Témoin,76.0,76.0,0.0,False
424,Abderahim,Hillo,Témoin,75.9,75.9,0.0,False
3,Mbaitolum,Chakir,Intervention,75.5,63.5,12.0,True
368,Abakar Ali,Franck,Intervention,75.4,12.4,63.0,True
430,Ahmat,Symphorien,Intervention,75.3,51.4,23.9,True
473,Youssouf,Bernadette,Témoin,75.1,75.1,0.0,False
83,Mht Goni,Halimé,Intervention,75.0,11.7,63.3,True
11,Saad,Celine,Témoin,73.8,73.8,0.0,False
161,Dillah,Luc,Intervention,73.8,65.2,8.5,False
129,Ngakoutou,Saleh,Intervention,73.4,45.2,28.2,True
