id,nom,prenom,age,sexe,filiere,bourse,frais_payes,moyenne_sem1,moyenne_sem2,note_examen,absences,retards,connexions_lms,devoirs_rendus,participation,taux_presence,abandon
1,Ngaradoum,Rahel,19,F,telecom,non,oui,9.5,10.6,3.7,11,9,29,8,5,49,Inscrit
2,Nadege,Saleh,24,M,telecom,non,oui,14.6,14.8,16.6,4,3,35,8,9,94,Diplômé
3,Mbaitolum,Chakir,24,M,info,non,non,6.0,3.1,2.0,13,12,7,2,0,48,Décrochage
4,Brahim,Youssouf,24,M,info,oui,oui,14.0,11.9,11.5,9,7,24,4,8,59,Diplômé
5,Adam,Veronique,24,F,mtic,oui,oui,8.9,7.3,7.7,10,8,17,3,5,45,Inscrit
6,Hillo,Haoua,18,F,mtic,oui,non,5.1,7.0,6.4,13,11,2,2,1,38,Inscrit
7,Kerallah,Habib,22,M,telecom,non,oui,13.2,13.8,16.9,6,6,25,6,10,90,Diplômé
8,Abdeldjelil,Khidir,23,M,info,non,non,13.2,11.3,14.1,13,6,27,5,5,66,Inscrit
9,N'djiaye,Veronique,21,F,info,oui,oui,3.1,2.7,7.3,19,10,4,1,2,37,Décrochage
10,Guihini,Yasmin,20,F,mtic,non,non,9.3,7.8,8.1,13,12,35,7,4,48,Inscrit
11,Saad,Celine,23,F,mtic,non,oui,9.1,3.2,5.2,15,8,8,3,2,45,Décrochage
12,Bachir,Anne,20,F,mtic,non,oui,11.0,11.5,11.1,7,8,24,7,6,77,Diplômé
13,Chakir,Zara,20,F,mtic,non,oui,9.1,6.9,5.4,16,8,15,3,1,39,Décrochage
14,Ahmat,Marc,23,M,mtic,non,oui,7.9,9.6,6.6,13,7,12,3,4,56,Décrochage
15,Ndolenodji,Celestin,22,M,mtic,oui,oui,7.0,5.7,6.5,10,11,9,3,1,33,Décrochage
16,Abdeldjelil,Ibrahim,18,M,info,oui,oui,15.5,14.9,17.6,8,0,25,7,8,85,Diplômé
17,George,Serge,22,M,info,oui,oui,9.4,4.9,5.5,16,8,3,2,3,46,Inscrit
18,Khidir,Safia,23,F,mtic,non,non,13.5,14.3,13.3,4,5,36,10,7,79,Diplômé
19,Mahamat,Veronique,21,F,info,non,oui,10.1,11.1,11.9,7,5,19,6,4,72,Diplômé
20,Tahir,Rodrigue,21,M,telecom,oui,non,8.0,9.6,10.9,11,8,21,4,3,61,Inscrit
21,Bakhit,Denise,23,F,info,non,non,12.4,16.0,11.0,6,2,28,7,9,69,Diplômé
22,Aboulaye,Martine,18,F,info,non,oui,12.2,10.2,12.6,12,7,22,4,5,62,Diplômé
23,Idriss,Habib,19,M,mtic,non,oui,12.4,13.0,12.5,6,6,14,3,5,64,Diplômé
24,Mbaitigue,Nouradine,24,F,info,non,non,12.9,12.0,13.3,2,5,29,9,7,68,Inscrit
25,Fatahaldjelil,Luc,22,M,telecom,oui,oui,9.8,10.1,13.3,6,6,24,8,8,64,Inscrit
26,Massang,Gotran,19,M,telecom,non,oui,10.5,9.3,9.8,7,6,28,8,4,62,Inscrit
27,Mbailaou,Denise,21,F,info,non,oui,16.2,12.8,18.5,4,2,23,8,8,93,Diplômé
28,Saad,Magloire,21,M,info,non,non,8.0,5.8,7.0,12,9,5,4,3,60,Inscrit
29,Mbaitigue,Rahel,18,F,info,oui,oui,7.0,8.1,3.9,11,11,3,3,3,58,Décrochage
30,Djamal,Farid,18,M,mtic,non,non,12.0,12.0,8.7,8,6,18,5,5,61,Inscrit
31,Nour,Hassan,22,M,mtic,oui,oui,6.5,5.4,5.2,15,13,8,3,3,39,Décrochage
32,Bachir,Nadia,18,F,telecom,non,non,17.6,13.3,14.7,4,3,37,7,7,84,Diplômé
33,Mahamat Ali,Bintou,20,F,mtic,oui,oui,16.0,15.4,12.8,7,5,29,10,9,79,Diplômé
34,Bachir,Safiya,24,F,info,oui,non,13.0,14.1,9.7,6,6,26,3,8,75,Diplômé
35,Djamal,Fatimé,19,F,mtic,oui,oui,14.9,17.4,17.7,4,3,26,7,5,83,Diplômé
36,Djimet,Evariste,18,M,info,non,non,8.3,8.1,6.8,14,11,3,4,1,46,Décrochage
37,Kerallah,Hinda,20,F,info,non,non,9.0,12.4,10.7,9,8,14,5,4,62,Décrochage
38,Mbaitolum,Narcisse,20,M,telecom,non,oui,9.7,11.0,11.9,10,9,19,6,7,66,Inscrit
39,Zakaria,Issa,22,M,mtic,oui,oui,6.1,9.9,5.3,8,9,7,4,2,28,Décrochage
40,Hassaballah,Chakir,24,M,mtic,oui,non,8.5,9.1,9.3,14,7,22,4,3,39,Décrochage
41,Tahir,Zara,22,F,telecom,oui,non,12.9,18.5,12.5,3,4,34,10,8,86,Diplômé
42,Hamid,Paul,22,M,info,non,oui,12.3,13.3,11.7,5,3,28,7,6,85,Inscrit
43,Fatahaldjelil,Fatimé,23,F,mtic,non,non,10.9,8.0,10.4,11,4,26,7,3,58,Inscrit
44,Christian,Celestin,21,M,info,non,non,12.9,15.8,10.9,4,5,27,7,7,86,Diplômé
45,Tidjani,Asma,23,F,mtic,non,oui,13.5,11.5,14.1,8,5,26,9,6,72,Inscrit
46,Naimbaye,Nadège,21,F,mtic,non,non,6.6,4.9,4.7,14,14,5,2,0,36,Décrochage
47,Farid,Pierre,21,M,telecom,non,oui,16.3,12.9,13.7,4,3,30,7,9,82,Diplômé
48,Gotran,Mahamat,20,M,telecom,non,oui,3.8,5.7,4.8,17,11,25,8,2,36,Inscrit
49,Bichara,Abakar,18,M,mtic,non,oui,9.0,9.5,9.9,13,12,26,4,5,42,Décrochage
50,Chakir,Pierre,22,M,mtic,non,oui,15.3,17.5,15.0,6,2,29,7,7,98,Diplômé
51,Ngarmadji,Josephine,21,F,mtic,oui,oui,14.1,9.8,12.9,6,7,30,7,7,81,Diplômé
52,Moussa,Ali,19,M,info,non,non,10.3,6.2,5.0,14,11,7,4,2,43,Décrochage
53,Christian,Faozzia,24,F,mtic,non,oui,5.9,5.5,8.9,15,8,6,6,3,59,Décrochage
54,Hamid,Haroun,23,M,mtic,oui,non,18.2,9.4,18.5,4,0,30,10,10,94,Diplômé
55,Ngakoutou,Hinda,19,F,info,non,non,12.7,6.1,10.0,9,7,29,5,7,74,Diplômé
56,Dangbe,Rebecca,23,F,info,non,non,15.1,14.7,13.9,8,4,30,7,9,66,Décrochage
57,Rahel,Appolinaire,20,M,info,non,non,12.0,11.6,11.6,9,4,19,8,7,86,Diplômé
58,Tidjani,Odette,21,F,mtic,non,non,11.8,14.2,14.8,2,3,28,8,7,84,Diplômé
59,Youssouf,Nasser,21,M,mtic,oui,oui,13.4,13.4,7.5,10,8,17,3,6,62,Inscrit
60,Togombaye,Angèle,23,F,telecom,oui,non,12.3,10.7,9.2,8,2,21,7,7,75,Diplômé
61,Ngaradoum,Safiya,22,F,info,non,oui,8.0,9.2,9.8,8,9,20,6,4,52,Inscrit
62,Seid,Denise,18,F,telecom,non,non,6.7,2.0,3.9,15,13,0,0,0,50,Décrochage
63,Camara,Odette,20,F,info,non,oui,6.4,4.8,3.1,13,14,27,8,2,33,Inscrit
64,Haroun,Yacoub,21,M,info,non,non,9.1,12.5,11.1,7,12,22,4,4,61,Inscrit
65,Kebir,Veronique,22,F,mtic,oui,oui,16.3,17.3,18.1,0,5,40,7,10,70,Diplômé
66,Hamid,Gontran,21,M,mtic,non,oui,13.5,15.1,18.5,2,1,38,9,9,81,Diplômé
67,Seid,Hillo,20,M,mtic,non,non,5.3,8.3,6.2,11,9,14,3,3,50,Décrochage
68,Hassaballah,Zara,20,F,info,non,non,8.6,9.9,7.9,9,9,15,4,6,52,Décrochage
69,Ngakoutou,Appolinaire,20,M,info,oui,oui,12.2,7.2,11.2,3,3,25,4,7,78,Diplômé
70,Fatahaldjelil,Amne,19,F,telecom,non,oui,8.4,9.5,7.9,12,8,22,2,5,52,Décrochage
71,Saad,Faustin,22,M,info,non,non,11.6,15.9,14.4,4,6,29,7,7,65,Diplômé
72,Djibrine,Abderahim,21,M,info,oui,oui,14.1,12.2,10.7,6,7,21,5,7,69,Décrochage
73,Christian,Christine,23,F,mtic,oui,non,11.5,14.3,12.8,4,8,31,6,8,63,Diplômé
74,Abdelkerim,Valentin,18,M,telecom,non,oui,7.2,5.2,2.8,13,10,4,2,0,57,Décrochage
75,Tahir,Sadia,20,F,telecom,non,non,7.9,2.0,2.7,14,13,3,0,2,25,Décrochage
76,Mht Rozzi,Aristide,20,M,info,non,non,7.1,6.5,6.6,13,11,11,1,2,46,Décrochage
77,Mbodou,Marie,21,F,telecom,non,non,8.1,9.3,12.1,11,10,22,4,4,73,Inscrit
78,Mbaitigue,Halimé,20,F,info,non,oui,5.4,10.6,3.9,18,10,9,1,1,40,Décrochage
79,Celestin,Issakha,18,M,telecom,non,oui,10.3,12.4,13.5,11,7,19,4,5,61,Inscrit
80,Gotran,Josephine,23,F,mtic,non,oui,14.7,15.6,11.8,0,3,31,9,10,90,Diplômé
81,Chabadine,Josephine,21,F,telecom,non,oui,12.0,17.5,11.2,3,0,32,8,8,79,Diplômé
82,Naimbaye,Faozzia,19,F,info,non,non,11.5,13.0,8.5,15,7,21,6,5,60,Inscrit
83,Mht Goni,Halimé,24,F,info,oui,non,5.4,9.7,4.5,10,10,15,1,4,70,Inscrit
84,Hassaballah,Inès,18,F,telecom,non,non,16.0,16.5,13.1,1,0,32,9,9,84,Diplômé
85,Ngarmadji,Franck,21,M,info,non,oui,11.1,13.2,9.7,5,8,28,7,4,75,Inscrit
86,Abdelkerim,Haoua,22,F,telecom,oui,non,5.1,9.5,7.9,13,8,9,3,4,71,Décrochage
87,Mbodou,Symphorien,20,M,info,non,oui,5.8,7.0,9.1,12,6,13,2,5,57,Décrochage
88,Nour,Théophile,18,M,info,non,non,6.0,5.9,6.7,12,10,10,3,4,43,Décrochage
89,Issakha,Chakir,24,M,mtic,non,non,16.8,11.7,14.8,6,3,33,8,7,71,Diplômé
90,Mbailaou,Bintou,18,F,telecom,non,oui,15.3,12.1,8.0,6,4,26,5,5,90,Diplômé
91,Mbaitolum,Sadia,19,F,mtic,oui,non,8.4,8.2,8.2,8,10,20,5,3,55,Décrochage
92,Tahir,Pauline,21,F,telecom,non,oui,16.6,13.5,16.2,0,3,32,9,10,86,Diplômé
93,Camara,Zakaria,23,M,mtic,oui,oui,11.7,11.7,7.9,7,7,23,4,6,70,Diplômé
94,Chabadine,Brahim,18,M,info,oui,oui,15.9,17.2,18.5,0,3,40,7,10,89,Diplômé
95,George,Sylvestre,23,M,mtic,non,oui,13.3,7.5,11.1,13,4,29,7,7,81,Diplômé
96,Abakar,Marc,19,M,mtic,oui,oui,7.7,8.8,7.7,14,8,7,1,3,59,Décrochage
97,Hassaballah,Marie,18,F,info,non,oui,4.6,5.6,2.0,16,8,0,0,2,40,Décrochage
98,Ngarmadji,Monique,21,F,mtic,oui,oui,15.0,17.1,17.7,4,3,34,8,7,84,Diplômé
99,Camara,Mariam,22,F,telecom,non,oui,12.2,18.5,14.7,4,2,36,8,7,82,Diplômé
100,Hassaballah,Nour,20,M,telecom,non,non,12.9,12.3,14.5,8,7,17,6,8,83,Diplômé
101,Nourdine,Barnabé,21,M,mtic,oui,oui,12.3,11.3,11.9,7,6,13,5,6,71,Inscrit
102,Fatahaldjelil,Lucie,23,F,info,non,oui,10.3,9.4,7.9,9,5,17,5,5,62,Inscrit
103,Celestin,Celine,24,F,info,oui,oui,13.9,14.4,12.7,7,3,27,8,9,73,Diplômé
104,Massang,Dalia,21,F,info,non,oui,16.5,15.6,15.6,5,0,33,10,9,80,Diplômé
105,Tidjani,Suleiman,24,M,mtic,oui,oui,11.1,9.6,9.1,7,6,21,5,6,69,Inscrit
106,Hassaballah,Sophie,18,F,mtic,non,non,10.0,10.0,12.7,8,8,24,5,6,70,Diplômé
107,Oumar,Haoua,19,F,mtic,non,non,14.5,13.9,14.8,6,4,29,6,7,92,Diplômé
108,Zakaria,Youssouf,21,M,info,non,oui,14.6,13.6,10.8,0,6,19,5,8,73,Diplômé
109,Oumar,Bintou,18,F,telecom,non,non,10.3,8.0,5.7,17,7,15,5,7,42,Décrochage
110,Christian,Halimé,20,F,mtic,non,non,10.0,11.5,12.0,9,6,12,5,3,53,Diplômé
111,Jean,Bachir,21,M,info,oui,oui,5.7,9.0,6.8,16,10,10,1,3,48,Décrochage
112,Brahim,Esther,24,F,info,non,non,11.1,11.2,15.2,8,9,29,7,6,69,Diplômé
113,Issa Bechir,Esther,21,F,mtic,non,non,4.5,5.2,3.5,11,14,11,1,0,30,Décrochage
114,Camara,Zara,23,F,info,non,oui,6.1,12.3,3.7,17,11,28,7,4,42,Inscrit
115,N'djiaye,Issakha,19,M,telecom,non,oui,9.5,6.4,13.4,6,4,33,8,8,64,Diplômé
116,Abakar Hassan,Faustin,20,M,telecom,oui,non,8.2,12.2,9.9,8,3,33,6,5,70,Inscrit
117,Christian,Hamid,23,M,mtic,oui,non,9.0,9.9,11.8,5,4,19,6,5,68,Diplômé
118,Gotran,Rodrigue,24,M,telecom,oui,oui,11.1,10.4,10.9,8,6,20,8,8,77,Diplômé
119,N'djiaye,Claire,18,F,info,non,non,10.5,11.7,14.0,8,5,28,5,5,75,Inscrit
