id,nom,prenom,age,sexe,filiere,moyenne_sem1,moyenne_sem2,absences,connexions_lms,devoirs_rendus,taux_presence,prob_decrochage,prob_diplome,niveau_risque,facteur_principal,abandon
389,Khidir,Sylvie,19,F,mtic,5.9,4.7,17,11,1,44,100.0%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
475,Hamid,Nourdine,18,M,mtic,3.4,5.1,16,8,1,42,100.0%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
351,Brahim,Amina,20,F,info,2.0,3.3,16,5,2,30,99.5%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
404,Bakhit,Abdelsalam,18,M,telecom,4.8,4.2,16,3,3,28,98.6%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
165,Kerallah,Faozzia,23,F,telecom,5.7,5.3,20,7,2,35,98.6%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
31,Nour,Hassan,22,M,mtic,6.5,5.4,15,8,3,39,97.9%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
336,Issa Bechir,Paul,19,M,telecom,7.6,7.3,14,4,2,37,97.8%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
182,Mbodou,Fatouma,19,F,telecom,4.1,3.2,15,4,1,21,97.4%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
76,Mht Rozzi,Aristide,20,M,info,7.1,6.5,13,11,1,46,96.6%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
46,Naimbaye,Nadège,21,F,mtic,6.6,4.9,14,5,2,36,96.5%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
180,Nouradine,Abderahim,19,M,mtic,4.0,3.7,19,3,1,32,96.2%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
313,Jean,Abdelkerim,18,M,info,3.8,5.7,16,12,1,42,95.9%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
113,Issa Bechir,Esther,21,F,mtic,4.5,5.2,11,11,1,30,95.8%,0.0%,ÉLEVÉ 🔴,score_risque,Décrochage
174,Nour,Abakar,23,M,telecom,4.9,4.2,17,2,0,24,95.4%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
15,Ndolenodji,Celestin,22,M,mtic,7.0,5.7,10,9,3,33,95.3%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
88,Nour,Théophile,18,M,info,6.0,5.9,12,10,3,43,94.9%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
215,Ngakoutou,Faozzia,24,F,info,6.4,4.5,19,10,0,35,94.5%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
181,Hassan,Sylvestre,21,M,telecom,2.0,6.1,12,7,2,31,94.5%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
342,Aboulaye,Celine,22,F,telecom,4.9,4.9,14,13,0,34,93.9%,0.0%,ÉLEVÉ 🔴,score_risque,Décrochage
439,Khalid,Abdelkerim,23,M,info,7.4,6.7,15,5,1,41,93.9%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
377,Kessou,Saleh,22,M,info,7.5,7.5,12,5,1,43,93.9%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
458,Hillo,Bintou,21,F,info,2.3,5.5,12,5,1,38,93.5%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
273,Abderahim,Ahmat,20,M,mtic,7.8,6.8,13,8,0,43,93.3%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
201,George,Nour,24,M,info,5.9,4.9,15,9,1,28,93.0%,1.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
335,Issa,Sophie,20,F,info,6.3,6.3,13,9,4,41,93.0%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
96,Abakar,Marc,19,M,mtic,7.7,8.8,14,7,1,59,92.9%,1.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
167,Mht Rozzi,Babikir,21,M,info,3.8,5.4,11,6,3,43,92.9%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
327,Idriss,Celestin,20,M,telecom,7.3,6.9,10,8,2,55,92.1%,1.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
199,Mbailaou,Yasmin,20,F,mtic,2.7,2.0,15,0,0,33,92.0%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
454,Tahir,Chakir,22,M,info,4.2,3.8,13,8,4,36,91.9%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
124,Mbailaou,Pierre,18,M,info,6.7,4.9,15,11,2,38,91.9%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
339,Togombaye,Madeleine,23,F,info,2.8,5.0,19,10,0,49,91.9%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
312,Bakhit,Théophile,24,M,mtic,3.5,2.0,10,9,1,26,91.7%,0.0%,ÉLEVÉ 🔴,score_risque,Décrochage
166,Abderahim,Abdelsalam,22,M,telecom,7.5,6.5,15,7,2,50,91.6%,1.1%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
426,Dillah,Prisca,22,F,mtic,7.3,8.0,13,6,4,46,91.5%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
154,Hassan,Esther,23,F,telecom,3.2,4.1,14,2,0,41,91.3%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
134,Bichara,Nadège,18,F,info,7.1,7.6,16,3,4,35,91.0%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
195,Ngakoutou,Djimet,20,M,info,8.1,9.4,16,10,3,62,90.9%,1.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
14,Ahmat,Marc,23,M,mtic,7.9,9.6,13,12,3,56,90.9%,1.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
264,Hassaballah,Fatouma,23,F,mtic,8.5,8.8,13,5,4,51,90.9%,1.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
155,Laoukein,Celine,18,F,telecom,2.6,4.1,16,0,0,39,90.5%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
111,Jean,Bachir,21,M,info,5.7,9.0,16,10,1,48,90.4%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
374,Yacoub,Celine,22,F,info,5.3,8.5,16,12,1,64,90.0%,0.8%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
214,Ngakoutou,Yacoub,24,M,mtic,7.0,6.1,17,15,3,36,89.9%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
472,Mallah,Amina,22,F,mtic,5.4,5.2,19,4,1,33,89.9%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
13,Chakir,Zara,20,F,mtic,9.1,6.9,16,15,3,39,89.1%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
9,N'djiaye,Veronique,21,F,info,3.1,2.7,19,4,1,37,89.1%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
318,Camara,Mahmat,19,M,info,7.8,7.1,14,14,3,60,89.1%,0.2%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
328,Farid,Julie,20,F,info,4.0,5.8,12,4,3,48,89.0%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
160,Nouradine,Pascaline,24,F,mtic,2.6,6.0,15,14,3,45,88.5%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
213,Oumar,Nasser,24,M,info,4.5,2.0,16,0,0,24,88.5%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
363,Guihini,Aristide,19,M,telecom,6.0,2.3,14,9,2,41,88.5%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
324,Abakar,Djibrine,19,M,info,3.5,3.0,16,4,2,50,88.5%,0.0%,ÉLEVÉ 🔴,ratio_absence_connexion,Décrochage
